sep=|
Dependency|Package Version|Requirement|Description|Date|License|URL|Source
scikit-learn|1.6.1| Python >=3.9|A set of python modules for machine learning and data mining|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/a1/a6/c5b78606743a1f28eae8f11973de6613a5ee87366796583fb74c67d54939/scikit_learn-1[.]6[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/scikit-learn/
scikit-learn|1.6.1| Python >=3.9|A set of python modules for machine learning and data mining|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/a8/f3/62fc9a5a659bb58a03cdd7e258956a5824bdc9b4bb3c5d932f55880be569/scikit_learn-1[.]6[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/scikit-learn/
scipy|1.15.1| Python >=3.10|Fundamental algorithms for scientific computing in Python|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/af/25/caa430865749d504271757cafd24066d596217e83326155993980bc22f97/scipy-1[.]15[.]1-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/scipy/
scipy|1.15.1| Python >=3.10|Fundamental algorithms for scientific computing in Python|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/fc/da/452e1119e6f720df3feb588cce3c42c5e3d628d4bfd4aec097bd30b7de0c/scipy-1[.]15[.]1-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/scipy/
seaborn|0.13.2| Python >=3.8|Statistical data visualization|25.01.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/83/11/00d3c3dfc25ad54e731d91449895a79e4bf2384dc3ac01809010ba88f6d5/seaborn-0[.]13[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/seaborn/
six|1.17.0| Python !=3.0.*, !=3.1.*, !=3.2.*, >=2.7|Python 2 and 3 compatibility utilities|04.12.2024| MIT License|https[:]//files[.]pythonhosted[.]org/packages/b7/ce/149a00dd41f10bc29e5921b496af8b574d8413afcd5e30dfa0ed46c2cc5e/six-1[.]17[.]0-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/six/
statsmodels|0.14.4| Python >=3.9|Statistical computations and models for Python|03.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/4b/e4/f9e96896278308e17dfd4f60a84826c48117674c980234ee38f59ab28a12/statsmodels-0[.]14[.]4-cp311-cp311-win_amd64[.]whl|https[:]//pypi[.]org/project/statsmodels/
statsmodels|0.14.4| Python >=3.9|Statistical computations and models for Python|03.10.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/9d/4f/a96e682f82b675e4a6f3de8ad990587d8b1fde500a630a2aabcaabee11d8/statsmodels-0[.]14[.]4-cp311-cp311-manylinux_2_17_x86_64[.]manylinux2014_x86_64[.]whl|https[:]//pypi[.]org/project/statsmodels/
threadpoolctl|3.5.0| Python >=3.8|threadpoolctl|29.04.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/4b/2c/ffbf7a134b9ab11a67b0cf0726453cedd9c5043a4fe7a35d1cefa9a1bcfb/threadpoolctl-3[.]5[.]0-py3-none-any[.]whl|https[:]//pypi[.]org/project/threadpoolctl/
tifffile|2025.1.10| Python >=3.10|Read and write TIFF files|10.01.2025| BSD License|https[:]//files[.]pythonhosted[.]org/packages/59/50/7bef6a1259a2c4b81823653a69d2d51074f7b8095db2abae5abee962ab87/tifffile-2025[.]1[.]10-py3-none-any[.]whl|https[:]//pypi[.]org/project/tifffile/
typing_extensions|4.12.2| Python >=3.8|Backported and Experimental Type Hints for Python 3.8+|07.06.2024| Python Software Foundation License|https[:]//files[.]pythonhosted[.]org/packages/26/9f/ad63fc0248c5379346306f8668cda6e2e2e9c95e01216d2b8ffd9ff037d0/typing_extensions-4[.]12[.]2-py3-none-any[.]whl|https[:]//pypi[.]org/project/typing-extensions/
tzdata|2025.1| Python >=2|Provider of IANA time zone data|21.01.2025| Apache Software License|https[:]//files[.]pythonhosted[.]org/packages/0f/dd/84f10e23edd882c6f968c21c2434fe67bd4a528967067515feca9e611e5e/tzdata-2025[.]1-py2[.]py3-none-any[.]whl|https[:]//pypi[.]org/project/tzdata/
Werkzeug|3.1.3| Python >=3.9|The comprehensive WSGI web application library.|08.11.2024| BSD License|https[:]//files[.]pythonhosted[.]org/packages/52/24/ab44c871b0f07f491e5d2ad12c9bd7358e527510618cb1b803a88e986db1/werkzeug-3[.]1[.]3-py3-none-any[.]whl|https[:]//pypi[.]org/project/Werkzeug/
